"King Gizzard & the Lizard Wizard",20250725,6XYvaoDGE0VmRt83Jss9Sn
"Hotline TNT",20250822,5DDuwU1X2Aqdp3CxfXstRe
"Deerhoof",20250630,7AZwAitWq1KcFoIJhRWb6V
"Xiu Xiu",20250724,5JLqvjW3Nyom2OsRUyFsS9
"Cleveland",20250626,1kpDT6GWeimdyCmkwvTPvt
"OK EG",20250626,6NkCtFoOhARKawHaQp9Xc7
"Urulu",20250626,7FYaJDT3DVb5xjxv9Ov1HI
"Nathan Melja",20250626,3qtMh2QxPEUz2rCH9hRHe7
"Lawrence Le Doux",20250626,5As9k4aeJ897xlMRrFp8mE
"oma totem",20250626,1rGwnZdib4PzGaxYuXJBhb
"Spray",20250626,7AyNPhiTjEsBF4HBBW4gDf
"Maara",20250626,71tnaVVl10fbxBHN5Rcd4y
"Volodymyr Gnatenko",20250626,0DAlz7AgPNs6MXQNR0f1Tf
"Leah Senior",20250701,0Pq1H8ePZYN3szPLokzclz
"Dr Sure’s Unusual Practice",20250703,6iGeZQgHQv6uD5LLQbuX5n
"David Bridie",20250731,0UHlX1Qwm4uEvVFjOfu1O4
"Neil Young",20220126,6v8FB84lnmJs434UJf2Mrm
"Joni Mitchell",20220128,5hW4L92KnC6dX9t7tYM4Ve
"Nils Lofgren",20220129,2TpAfGX0XNikAg5QjrbbvE
"India.Arie",20220201,7Gf3LSwa5hh8Cjo60WhVjC
"David Crosby",20220202,59zdhVoWxSoHMc74n098Re
"Stephen Stills",20220202,4WlSvDKaq1PA2Nr7cCIPxX
"Graham Nash",20220202,2E6Roj0oQnJIm2BeXwDica
"Crosby, Stills, Nash & Young",20220202,2pdvghEHZJtgSXZ7cvNLou
"Chad VanGaalen",20250726,597yzFFRvWnxCtDInHwciZ
"Sunnsetter",20250728,5Smal34Zq8B31aNJySKGRc
"Laura Burhenn",20250624,4AwtVXxRyTDFA5MCOglMF8
"Fiver",20250711,1nvq3vakg2j1A0wTpV0AkO
"The Highest Order",20250711,3bRYlWJjDUjSK6UJ9QoMsv
"Cindy Lee",20250731,0TZExq5Dma8hecEIAKwQYA
"The Mynabirds",20250701,6wWT7zLNVgTHbRh17E0tTk
"WU LYF",20250827,5mGTnJvTkLDN76DgXka5f0
"Kadhja Bonet",20250909,6sqZoZxe9BQwk7Zxh6STfF
"Young Widows",20250907,1DmeNQWfU70wyD5wXP2UgR
"Afrocop",20250903,5T8HMlfoKDt35nfMJEmSVs
"Ben Urv-Wong",20250903,
"Casey Rosebridge",20250903,
"Christopher Icasiano",20250903,6YaaffFY0ni7llF5JCXFx2
"DJ Roxy Music",20250903,
"Elias Hampton",20250903,
"Fantasy A",20250903,35ulzN2p7pYU0ExpBYunHb
"ff00ff",20250903,3q58ts7NlWmqm4JFJtQ2Mx
"Gretta Seabird",20250903,78o5nSgVR7agYGdHYSK6Ss
"IQU",20250903,0fbbPZpbimBVZUnxmuaQ6Z
"Jesse Gallaway",20250903,77tPg40c3emhoRpLz07ZAc
"Jesse Moneyhun",20250903,
"Josh Hou",20250903,78aiaEInA6KtxEj1DxDn2I	
"Jovino Santos Neto",20250903,5GMCyLTNLBsGbQ5bQBeULq
"Kaley Lane Eaton",20250903,0zAwNndusxtkJqqk7i4GNL
"Wiseacre",20250903,4QV71xbxJoewG2dD3ctqlU
